Organization Name,Organization Name URL,Actively Hiring,Founded Date,Founded Date Precision,Number of Employees,Full Description,Industries,Headquarters Location,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Description,CB Rank (Company),Last Funding Date,Funding Status,Number of Funding Rounds,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD)
Longstage,https://www.crunchbase.com/organization/longstage,,2022-04-11,day,1-10,,Software,"Istanbul, Istanbul, Turkey",4000000,TRY,214137,Longstage uses metaverse business-specific tools from meetings to events.,"70,823",2022-12-22,Seed,1,Angel,4000000,TRY,214137
Xero Tech,https://www.crunchbase.com/organization/xero-tech,,2022-02-10,day,11-50,"We are a Startup based in Dubai, UAE. We are developing fully immersive, persistent Metaverse, Experiences, Games, NFT collections, Land Parcels, and much more. Xero Tech is founded by Noman Shah. He is serial inventor, entrepreneur and technologist. Noman has 2 granted and 20 pending US & Canadian patents.  We have a dedicated team of researchers, developers and engineers expert in VR, AR, XR, Web 3.0, Unity, Blockchain, Smart Contracts, Artificial Intelligence, Internet of Things, Industry 4.0 and other cutting edge technologies.","Artificial Intelligence, Assistive Technology, Augmented Reality, EdTech, Gaming, Information Technology, Internet of Things, Software, Virtual Reality","Dubai, Dubai, United Arab Emirates",100000,USD,100000,We are developing ultimate XR metaverse platform and hardware products based on blockchain technology.,"71,172",2022-02-11,Seed,1,Pre-Seed,100000,USD,100000
May.Social,https://www.crunchbase.com/organization/may-social,,2020-01-01,year,1-10,"May.Social is a metaverse social platform that uses facial motion capture and 3D scene rendering technology to create a virtual interactive space in the mobile app, allowing user expressions and gestures to drive personalized Avatars in real time and synchronizing multi-person voices in real-time.","Augmented Reality, Virtual Reality","Singapore, Central Region, Singapore",3000000,USD,3000000,May.Social is a metaverse social platform that uses facial motion capture and 3D scene rendering technology to create a 3D virtual space.,"71,547",2022-05-16,Seed,1,Seed,3000000,USD,3000000
NEO FANTASY,https://www.crunchbase.com/organization/neo-fantasy,,2022-01-01,year,,NEO FANTASY is a blockchain-based ACGN metaverse game that combines NFT and DeFi with P2E gaming experience.,"Blockchain, Gaming",,1500000,USD,1500000,NEO FANTASY is a blockchain-based ACGN metaverse game that combines NFT and DeFi with P2E gaming experience.,"72,271",2022-09-09,Seed,1,Seed,1500000,USD,1500000
Deverse World,https://www.crunchbase.com/organization/deverse-world,,2022-01-01,year,,,"Blockchain, Online Games, Software","Singapore, Central Region, Singapore",250000,USD,250000,"We are building Metaverse solutions, using Unreal Engine & Web3, to host immersive gaming & social experiences.","72,585",2023-01-12,Seed,3,Seed,250000,USD,250000
AMG - AEY Metaverse Guild,https://www.crunchbase.com/organization/aey-metaverse-guild,,2022-01-14,day,1-10,"We firmly believe that the value of virtual economies will surpass that of the current “real” economies and we will all work there in the future. This is why we started building the community, whose salaries are paid from activities in the metaverse. AEY is a gaming guild and a web3 company, where we grant ownership to our community over NFT gaming assets and let them use these to earn crypto currencies. We are constantly investing in play-to-earn titles and bringing our players into these games.",,"Pärnu, Parnumaa, Estonia",1400000,USD,1400000,"AMG is a European play-to-earn gaming guild, a community of players brought together in games with blockchain based virtual economies.","72,596",2022-08-23,Seed,2,Convertible Note,310000,USD,310000
Jenny Metaverse DAO,https://www.crunchbase.com/organization/jenny-metaverse-dao,,2021-04-12,day,11-50,Jenny DAO is a collaborative contemporary art collection that creates assets in the metaverse and fractionalizes them on Unicly. JennyDAO's fractionalization strategy aims to give high-end NFT ownership a distributed spin. JennyDAO can make rare internet art more accessible by fractionalizing a collection of valuable NFTs.,"Blockchain, Cryptocurrency",,7000000,USD,7000000,Jenny DAO is a collaborative contemporary art collection that creates assets in the metaverse.,"72,919",2021-05-12,Seed,1,Pre-Seed,7000000,USD,7000000
GamePad,https://www.crunchbase.com/organization/gamepad,,2021-01-01,year,1-10,"GamePad is a platform that curates and nurtures then accelerates top gamefi, guilds, and metaverse projects.","Blockchain, Cryptocurrency, Gaming","Singapore, Central Region, Singapore",2500000,USD,2500000,"GamePad is a platform that curates and nurtures then accelerates top gamefi, guilds, and metaverse projects.","73,903",2022-03-04,Seed,1,Seed,2500000,USD,2500000
Hydraverse,https://www.crunchbase.com/organization/hydraverse,,2021-01-01,month,11-50,,Software,"América, Managua, Nicaragua",,,,"Hydraverse is a metaverse dragon fighting game developer, focusing on the development of a PVP dragon fighting game software.","74,372",2022-08-11,Seed,2,Seed,,,
Firework Games,https://www.crunchbase.com/organization/firework-games,,2021-04-05,day,11-50,"Firework Games is a creator of an open, inclusive, and diverse world of games.focus on immersiveness and mobile application to maximize growth of users. R&D is also main focus, the goal is to create an immersive metaverse predicted by AI based on each users prior behaviors, same dimention while users perception is unique, tailor to each users desires.","Gaming, Information Technology, Mobile, Video Games, Virtual Reality","Central, Hong Kong Island, Hong Kong",1000000,USD,1000000,"Firework's goal: immersive metaverse predicted by AI based on each users prior behaviors, same dimention while users perception is unique.","74,419",2022-04-12,Seed,1,Seed,1000000,USD,1000000
XR Central,https://www.crunchbase.com/organization/xr-central,,2020-01-01,year,11-50,XR Central is an interactive tech studio focused on using the Metaverse to solve real-world problems.,Software,"Gurgaon, Haryana, India",250000,USD,250000,XR Central is an interactive tech studio focused on using the Metaverse to solve real-world problems.,"74,978",2022-09-07,Seed,1,Seed,250000,USD,250000
PSI-G,https://www.crunchbase.com/organization/psi-g,,2022-06-06,day,1-10,"PSI-G is a metaverse that combines the spiritual world and reality, using brainwave technology. It is a Web3 lifestyle app where users learn about the importance of quality mental health and generate income during meditation. The company's platform enables cryptocurrency monetization and safe digital ownership using non-fungible tokens (NFTs).",,,3000000,USD,3000000,PSI-G is the first Web3 lifestyle app where users learn about the importance of quality mental health and generate income during meditation.,"74,997",2022-12-12,Seed,1,Pre-Seed,3000000,USD,3000000
DOGEBEER,https://www.crunchbase.com/organization/dogebeer,,2022-01-01,year,11-50,"DogeBeer is a DeFi platform and crypto beverage firm that offers passive revenue through product sales, bar licensing, staking, and NFTs. DogeBar is an ideal grill bar franchise that investors can obtain by staking $BEERS to obtain NFT licenses. The NFT licenses enable us to connect real-world commerce with the Metaverse and WEB 3.",Cryptocurrency,,1100000,USD,1100000,DogeBeer is a DeFi platform and crypto beverage company that provides investors with a passive income.,"75,833",2022-03-17,Seed,2,Seed,1100000,USD,1100000
Bloometa,https://www.crunchbase.com/organization/bloometa,,2021-01-01,year,1-10,"Bloometa is a marketplace aggregator for in game assets across various blockchains. Their metaverse game collection includes dogami, bloometa, excel ent gamers, witchez, emergents tcg, v hive avatars, celestial x, pixel potus, tezotrooperz, tezotrooperz, mekatron k9, and matterlight.",,"Paris, Ile-de-France, France",250000,USD,250000,Bloometa is a cross chain data marketplace for metaverse games.,"75,922",2022-05-01,Seed,1,Pre-Seed,250000,USD,250000
Metabook,https://www.crunchbase.com/organization/trustnetmd,,2020-01-01,year,11-50,"First Decentralized MetaBusiness network, creating a global mass adoption mechanism Metaverse companies and community. Metabook collides NFT and social media technologies to create ""social sharing economy"" based of Brett King (fintech influencer #2 in the world) technosocial principles that address the challenges of communication, collaboration, coordination and exit, on colliding health Metaverse global ecosystem.  The Metaboo Innovations Exchange platform serves as the communications backbone of what quickly becomes a collaborative Affiliate system for Web3 assets,  The value creation mechanism is www.metabook.digital Metabook is scaling Metainfluencer footprint in multiple Metaverse ecosystems! Such as Aimedis, Terra and AdventGalaxy.com and 9 other global companies. Other assets: aria.technology and Telewellness.app. www.metahealth.mobi and the biggest influencer network led by Dr.Robert Goldman, founder of of Sport Hall of Fame and Arnold Schwarzenegger Festival https://goldman.metabook.digital/","E-Learning, Sharing Economy, Social Media","Miami, Florida, United States",40000,USD,40000,"Metabook is first influencer-driven Health Metavers, colliding NFT & social media technologies, building a global Affiliate system for Web3","76,275",2021-12-05,Seed,1,Pre-Seed,40000,USD,40000
Cardalonia,https://www.crunchbase.com/organization/cardalonia,,2021-11-30,day,1-10,"Cardalonia is a virtual world where players can build, own and customize their own experiences on the Cardano Blockchain.","Blockchain, Gaming, Internet, Online Games","Tallinn, Harjumaa, Estonia",420000,USD,420000,"Cardalonia is a virtual world where players can build, own and customize their own experiences on the Cardano Blockchain.","76,597",2022-01-28,Seed,1,Pre-Seed,420000,USD,420000
Quik.com,https://www.crunchbase.com/organization/quik-com,,2022-01-08,day,1-10,"Quik.com offers top-level NFT Domain TLDs. Currently 10 NFT Domain TLDs are available on Quik, which are .metaverse, .vr, .chain, .address, .i, .bored, .doge, .shib, .btc, .web3. These TLDs are not a part of the traditional DNS system and are not associated with ICANN, and hold value inside the Quik’s ecosystem. These NFT Domains do not have any renewal fee and once minted, the minter always remains its owner until he/she decides to transfer or sell the NFT domain.",,"London, England, United Kingdom",350000,USD,350000,"Quik.com is a leading NFT domain name marketplace that provides the most exclusive top-level domains like .metaverse, .web3, .VR and others.","76,967",2022-01-08,Seed,1,Pre-Seed,350000,USD,350000
Owens NFT,https://www.crunchbase.com/organization/owens-nft,,2020-01-01,year,11-50,Owens customizable and modular Web3 stack empowers brands to engage their fans by leveraging the simplicity and familiarity of Web2 with the power of Web3-based digital assets. - Social/Email/Phone Login - Fiat Payment On/Off Ramp - KYC/AML compliance - Multichain - Whitelabel Marketplaces Metaverse based experiences Owens is building the “Shopify of Web3”,"Blockchain, Cryptocurrency, Finance, Marketplace","San Jose, California, United States",680000,USD,680000,Owens NFT is a nonfungible token marketplace that Drops are primary sales sold by the creator directly.,"77,016",2022-01-26,Seed,1,Seed,680000,USD,680000
Aptero,https://www.crunchbase.com/organization/aptero,,2020-01-31,day,11-50,"One tool that creates all your 3D rooms: You Tell us how your 3D space should be: Events Trainings Teambuilding Then using AI, our machine learning is able to generate your unique room based on your description. And tadah ! Your own 3D Room for your company is ready. Join on desktop, mobile or VR.","3D Technology, Artificial Intelligence, Machine Learning, Software, Virtual Reality, Web Development","Cergy, Ile-de-France, France",100000,USD,100000,Create your virtual campus for your business. Organise trainings and events in your company's virtual 3D world like your micro-metaverse.,"77,049",2022-12-14,Seed,2,Seed,100000,USD,100000
Diadata,https://www.crunchbase.com/organization/diadata,,2021-06-13,day,11-50,"DIADATA is a cross-chain, end-to-end, open-source data and oracle platform for Web3. The DIA platform enables the crowd-sourcing, validation and sharing of transparent and verified data feeds for asset prices, metaverse data and more. DIA data is simultaneously sourced at a trade level from multiple on-chain and off-chain sources and made available to developers on all relevant layer 1 and layer 2 networks.","Big Data, Blockchain, Data Mining, Finance","Zug, Zug, Switzerland",2600000,USD,2600000,"DIA is a cross-chain, end-to-end, open-source data and oracle platform for Web3.","78,092",2021-12-12,Seed,1,Seed,2600000,USD,2600000
Rozett.ai,https://www.crunchbase.com/organization/rozett-ai,,2022-01-01,month,1-10,"Rozett.ai is a metaverse platform that assists brands in joining the new digital revolution, from physical assets to wearables and NFTs.","Information Technology, Software","Madrid, Madrid, Spain",170000,EUR,175286,"Rozett.ai is a metaverse platform that assists brands in joining the new digital revolution, from physical assets to wearables and NFTs.","78,477",2022-11-22,Seed,1,Pre-Seed,170000,EUR,175286
Metaverse Commerce Network,https://www.crunchbase.com/organization/metaverse-commerce-network,,2022-01-15,day,1-10,"The Metaverse Commerce Network (MCN) operates Shopping Malls in the Metaverse, mapped to real places in the world. Thousands of cities and towns, organized by name, each one represented by a NFT. Mall owners can use the MCN software to host retailers in their malls. Each mall is adaptive to its shoppers, containing the stores of interest to that shopper. Conversion software allows eCommerce users to seamlessly and without cost, move their store to one or many malls the Metaverse. Local merchants can host their store in the town where their actual store exists, allowing localization of the Metaverse.  MCN is governed by a MCN DAO, where members who hold MCNCoin tokens (Symbol: MCN) vote on policies and governance issues in a decentralized and democratic manner.","E-Commerce, Internet, Software","Palo Alto, California, United States",250000,USD,250000,Metaverse Commerce Network is a decentralized autonomous organization (DAO) that hosts virtual shopping malls in the Metaverse.,"79,588",2022-03-15,Seed,1,Pre-Seed,250000,USD,250000
DigiNation,https://www.crunchbase.com/organization/digination-50d2,,2021-01-01,year,11-50,"DigiNation is a Web3 Metaverse featuring NFT-based innovation. DigiNation’s vision is the Metacreation of the metaverse, by metaverse, for the metaverse. DigiNation Metaverse is of four components namely DigiAvatar, NFT Live, DigiMaker, CryptoSurvivor game.","Blockchain, Cryptocurrency",,,,,DigiNation is a Web3 Metaverse featuring NFT-based innovation.,"79,615",2022-04-30,Seed,2,Seed,,,
IMPRESSO,https://www.crunchbase.com/organization/impresso-labs,,2019-10-01,day,1-10,"IMPRESSO provides verification as a service or VaaS for short to both recruiters and job seekers. By authenticating key career information, job seekers become more employable faster. With a simple process and a pay as you go model, IMPRESSO’s verification engine (IVE) does the hard work for you, so you work faster and make better informed decisions. Hiring becomes 25% faster. 3 times more relevant candidate applications and 50% higher quality job matching.    IMPRESSO verifies references, working dates and salary. A candidate's verified information can be ""recycled"" at a later date, so that the verification process need not be repeated again each time the candidate applies for a new job. Each year, 900 Million people actively look for new jobs. An over 80% of CV and resumes have fake or misleading career information. And with the start of the Metaverse, networking professionals would need to prove their identity more than ever before. TAM for careers and hiring stands at; $2.5B (or 112M professionals). TAM for authentic digital identity stands at 700M users. Today we have verification in 127 countries. Launched our Ethereum based tokens (ESSO) early this year. Now users use real blockchain tokens. By mid year we will have the recruiters notary nodes ready for participation. Our go to market focus are on professional women and fresh graduates. But we recently also started supporting the war in Ukraine with identity verification.","Apps, Blockchain, Career Planning, Cryptocurrency, Human Resources, Identity Management, Recruiting, Social Media, Social Network, Social Recruiting","Lausanne, Vaud, Switzerland",50000,USD,50000,IMPRESSO fast tracking career growth and hiring for professionals and recruiters through the automation of CV verification.,"79,876",2022-02-01,Seed,4,Seed,50000,USD,50000
MaxWhere,https://www.crunchbase.com/organization/maxwhere,,2020-09-06,day,11-50,"We and our proprietary architectural solution allows enterprises to easily move in and enjoy the advantages of the metaverse - integrating and visualizing in real-time use cases in manufacturing, operations, logistics, program and project management, enterprise collaboration and more.","Augmented Reality, Information Technology, Logistics, Manufacturing, Project Management, Software, Virtual Reality","Budapest, Budapest, Hungary",2000000,EUR,2355759,"MaxWhere is a software company that provides a 3D virtual platform for browsing, learning, and presentation.","80,065",2020-08-01,Seed,1,Seed,2000000,EUR,2355759
Orderinbox,https://www.crunchbase.com/organization/orderinbox,,2019-03-01,month,1-10,"Orderinbox is Social Commerce Platform for the Metaverse where creators and collectors meet to trade any digital asset (Art, Music, Movie, Sports Cards, Game Assets, Fashion, Intellectual and Digital Property Etc.) secured with blockchain technology, namely NFTs (non-fungible tokens). We are building the infrastructure for the new creative economy where creators thrive by connecting directly to relevant audiences who can reward them for their work without any centralized control.","Blockchain, Cryptocurrency, E-Commerce, Internet, Social, Social Media, Trading Platform","Vancouver, British Columbia, Canada",,,,Social Commerce Platform for the Metaverse,"80,226",2021-11-15,Seed,2,Seed,,,
Metabloqs,https://www.crunchbase.com/organization/metabloqs,,2021-01-01,year,1-10,,,"Lucerne, Luzern, Switzerland",1250000,CHF,1295403,"Metabloqs is the trusted metaverse for real interactions, business and value (with more than 350k registered users in 3 months","80,407",2022-09-16,Seed,1,Pre-Seed,1250000,CHF,1295403
Safeverse,https://www.crunchbase.com/organization/safeverse,,2021-01-01,year,1-10,"Safeverse is a training, Learning, and Education to equip people for future jobs in the metaverse and real life.","Education, Training","Ingolstadt, Bayern, Germany",1000000,USD,1000000,"Safeverse is a training, Learning and Education to equip people for future jobs in the metaverse and real life.","81,103",2022-09-12,Seed,1,Pre-Seed,1000000,USD,1000000
RE:DREAMER Lab,https://www.crunchbase.com/organization/re-dreamer-lab,,2021-01-01,year,11-50,"RE:DREAMER Lab is working on developing a Redeem Protocol and a corresponding BaaS (Blockchain-as-a-Service).  This protocol connects mainstream systems and blockchains swiftly and safely, making the trading of physical goods in the metaverse possible. With RE:DREAMER Lab's service, anyone can easily leap from Web2.0 to Web3.0 in seconds.","Blockchain, IT Infrastructure, Software",,1000000,USD,1000000,"RE:DREAMER Lab, the redeem protocol of virtual and physical goods","82,547",2021-11-05,Seed,1,Pre-Seed,1000000,USD,1000000
Voistir,https://www.crunchbase.com/organization/voistir,,2022-01-02,day,1-10,"Voistir is a web3 social gathering space, organized by Places (NFT’s) and threads, that gives users the freedom to search, create, comment, and monetize their usage while leveraging blockchain to provide total control over their personal data. Voistir community standards are defined by the users, not a giant corporation.","Blockchain, Cryptocurrency, Internet, Media and Entertainment, Social Media, Virtual Reality","Los Angeles, California, United States",150000,USD,150000,"Social, Blockchain, VR, Metaverse","82,852",2022-03-11,Seed,2,Seed,150000,USD,150000
Game Lounge,https://www.crunchbase.com/organization/game-lounge-8e19,,2021-12-21,day,1-10,"The Game Lounge is your personal gaming room in the metaverse where you can come anytime you want and relax, invite your friends to hang out, play your favorite games with them and boost your NFT collection.","Blockchain, Online Games, Social","Dubai, Dubai, United Arab Emirates",550000,USD,550000,"The Game Lounge is a gaming room in the metaverse where players can hang out with friends, play the games and boast a NFT collection.","83,352",2022-01-17,Seed,1,Seed,550000,USD,550000
ForeQuest,https://www.crunchbase.com/organization/forequest,,2020-02-01,month,1-10,"Forequest is building Wakapapa - The Augmented Reality Metaverse designed for Impact and Predatory Engagement. The platform packs a powerful IP-protected UX interface designed to respect and leverage user attention, feeding a revolutionary data model designed to bypass all privacy issues by avoiding the collection and use of sensitive data.","Augmented Reality, Cause Marketing, Impact Investing, Mobile, Mobile Advertising, Outdoor Advertising, Social Impact","Milano, Lombardia, Italy",196000,EUR,195055,Disrupting the attention economy!,"83,598",2022-09-01,Seed,2,Pre-Seed,196000,EUR,195055
22block Studios,https://www.crunchbase.com/organization/22block-studios,,2022-01-01,year,1-10,"22Block Studios.A Team of Artists, Musicians, Clothing Designers, Architectures & graphic designers all teaming up to create  Web3.0 Metaverse Platform,  22Block a established Digital Music Record Label with over 55 million streams worldwide, Creating a Artist Focused Metaverse, using NFTs To Change the Way Music Creators, Receive Royalties, Deliver Music Experiences, & Digital Collectibles, While Offering Fans, Early Supporters, investors, a passive income, from Profit Sharing, Royalties offered just for Holding Music Collectables, though Smart Contracts on the Blockchain   22Block Started as a Music & Media Company/ hip Hop group 2001, from Niagara Falls, NY our music & games are on every streaming platform, like pandora, Apple Music, & Spotify, we have provided services for years to artists, film Makers, and  producers, helping them stay on the cutting edge of Music & Technology, like video games, & mobile apps,","Augmented Reality, Blockchain, Gaming, Music Label, Virtual Reality","West Hollywood, California, United States",150000,USD,150000,"Digital Media creators, NFT, Metaverse, Blockchain","84,084",2022-05-22,Seed,1,Pre-Seed,150000,USD,150000
CollectiveWeb,https://www.crunchbase.com/organization/collectiveweb,,2019-04-01,day,11-50,"By merging the best parts of cloud gaming and video communications we've created a virtual 3D world collaboration platform, which can be deployed on demand for 1k+ users and limitless number of spectators, with plans to raise user count to 100k+ in 2022. Collective Web can be an out-of-the box solution, you won’t need help of any specialist to run your virtual 3D room, and our enterprise team would be happy to create a custom solution by demand. We make the Internet volumetric, ultra-realistic and fascinating like video games. Our mission is to make web a collective space, where people can collaborate and communicate with a true sense of presence in a secure, persistent environment as in real life or even better.",,"San Francisco, California, United States",850000,USD,850000,Collaborative metaverse for business accessible via browser on any device,"85,201",2021-06-01,Seed,2,Seed,850000,USD,850000
Stepinside Virtual Commerce,https://www.crunchbase.com/organization/stepinside-virtual-commerce,,2020-01-01,year,1-10,"The future of E-commerce on Metaverse Transform your retail store into an immersive Virtual Branch With Augmented reality and Virtual reality  Create an interactive virtual sales channel for a better customer experience. Increase your return on investment by setting up a virtual sales channel. enhance your current E-commerce platform to a virtual commerce marketplace.  Reach Your Audience Worldwide Virtual Stores  anyone, anywhere in the world can step inside your  Store   Just From a phone or computer - No Closing time, app download, or headset needed","Augmented Reality, E-Commerce, Fashion, Retail, SaaS, Virtual Reality","Alexandria, Al Iskandariyah, Egypt",50000,EGP,3185,"SaaS , E-Commerce , augmented Reality , Virtual Reality","85,868",2021-07-01,Seed,2,Seed,50000,EGP,3185
Twinny,https://www.crunchbase.com/organization/twinny-d277,,2021-01-01,month,1-10,"Twinny, a tech start-up, is a SaaS product based on artificial intelligence to make the correct use of data from social networks, metaverse, and e-commerce for increasing sales and return on investment. In the Social-Commerce sector, currently in trend, we work with the most influential platforms in the technical landscape, such as Meta, Google, Pinterest, Twitter, Snapchat, Youtube on the RRSS side; and Magento, Shopify, Prestashop, Salesforce, and WooCommerce on the e-commerce side.","Artificial Intelligence, Big Data, Business Intelligence, E-Commerce, SaaS, Software","Madrid, Madrid, Spain",100000,EUR,113199,SaaS product based on artificial intelligence for Social Commerce,"87,527",2021-11-16,Seed,1,Pre-Seed,100000,EUR,113199
Compendium Finance,https://www.crunchbase.com/organization/compendium-finance,,2020-01-01,year,1-10,"A compendium of useful tools to help make life in the crypto markets and metaverse simpler. Trade manually, build your own bot strategies, or have one of our many automated systems do it for you in just a few clicks.",FinTech,,2500000,USD,2500000,A compendium of useful tools to help make life in the crypto markets and metaverse simpler.,"87,778",2022-01-06,,1,Undisclosed,2500000,USD,2500000
WebWrap Inc,https://www.crunchbase.com/organization/webwrap-inc,,2019-03-19,day,1-10,"Blockchain based token empowering a Micro Social Network  platform, wrapping anything: any web site, any map location, any topic.","Blockchain, Consumer Reviews, Internet, Mobile Apps, Social Network, Software","Indianapolis, Indiana, United States",400000,USD,400000,"CryptoWrap : NFT, Crypto and Metaverse information platform","87,985",2020-10-01,Seed,2,Seed,400000,USD,400000
Bamboo Asset Management,https://www.crunchbase.com/organization/bamboo-asset-management,,2021-07-01,day,1-10,"Bamboo Asset Management is a utility mobile wallet that helps to decentralized finance (DeFi), NFTs, and the metaverse. The company aims to bring financial returns historically reserved for the 1% to the 99%, and have a lot of fun simultaneously. It was formed on July 1, 2021 and is headquartered in Chicago, Illinois.","Finance, Financial Services, FinTech","Chicago, Illinois, United States",49500,USD,49500,"Bamboo Asset Management is a utility mobile wallet that helps to decentralized finance (DeFi), NFTs, and the metaverse.","88,358",2022-10-27,Seed,1,Seed,49500,USD,49500
Minicoders,https://www.crunchbase.com/organization/minicoders21-s-l,,2021-01-01,year,11-50,,,"Barcelona, Catalonia, Spain",324000,EUR,329076,Minicoders is the Play-to-Learn platform where kids grow coding skills while playing in the metaverse!,"89,048",2022-08-03,Seed,1,Pre-Seed,324000,EUR,329076
CREON GAMES,https://www.crunchbase.com/organization/creon-games,,2021-01-01,year,11-50,"We develop: Mobile games. Prototypes, tests, UA, publishers, scaling, titles, and other charms created by gamers for gamers. Web3. The most creative team working on NFT art, blockchain technologies in gaming, and fully-fledged Metaverse AI models.  It’s all about Engagement, Retention, and Generative models in mobile app interfaces.","Gaming, Video Games","Dubai, Dubai, United Arab Emirates",100000,USD,100000,We launch mobile games that out do all the others in quality and originality,"89,086",2022-01-24,,2,Convertible Note,,,
Veyond Metaverse,https://www.crunchbase.com/organization/veyond-metaverse,,2021-01-01,year,1-10,"Veyond Metaverse aspires to be the leading platform for the future Healthcare Metaverse ecosystem. It provides a novel and disruptive XR technology to supplement and improve education, training, and the healthcare system across the board. Veyond Metaverse develops cutting-edge extended reality (XR) solutions to improve medical education, physician training, surgical planning and procedure, treatment, and diagnosis.","Health Care, Medical Device","Castro Valley, California, United States",3000000,USD,3000000,"Veyond Metaverse makes extended reality solutions to improve medical education, training, surgical planning, treatment, and diagnosis.","89,658",2022-02-04,Seed,1,Seed,3000000,USD,3000000
Racer Club Labs,https://www.crunchbase.com/organization/racer-club-labs,,2022-01-10,day,1-10,"INTRODUCTION Today's Web 3 games are not good enough for mainstream gamers. It's evident in the market gap where there are only 3 million play-to-earn players and over 234 million esports gamers. As a Web 3 launchpad company that has assisted over 130+ NFT projects launch and a loyal gamer of titles such as FIFA and Forza since the 90s, we decided to do something to bridge this gap! THE NEXT STEP INTO WEB 3 We will use a proven sports growth formula coupled with Web 3 technological advantages of the blockchain to deliver an immersive game experience unlike any other. We've simplified the tokenomics and allow users to bring their own tokens and NFTs to form their own game, completely challenging the current norm of play-to-earns to solve the new player adoption and retention issues faced by all the competitors in the space. RACE-AND-EARN WITH RACER CLUB Introducing Racer Club, the first Web 3 racing game that brings the nostalgia of 'Mario Kart', story captions of 'Forza' and easy to build tracks of 'Hot Wheels'. Built in Unreal Engine and with a step-by-step roadmap set to revolutionise the Web 3 gaming space, the final goal is to cater for Club Managers, Players and Fans to become one with Esports connecting both worlds to be able to compete in the same level playing 'metaverse' of the future. WHY YOU SHOULD ENTRUST US The core team is led by CEO and co-founder, Matthew Ng, a startup entrepreneur with over 20 years experience in building, scaling and exiting businesses, and have previously done this successfully in the ecommerce, motorsports and energy sectors. Roman Granovskyi, the company's CTO and co-founder has over 15 years in the technology development space and has worked on various projects for brands such as Energizer, AWS and Atlassian. Vince Naselli, the company's CFO and co-founder has over 25 years and 7.7 billion in trade sales experience in M&As and business strategy. Together, the team's recent success include selling out 3 NFT projects under the brand ToastPunk and Irish Oracle amassing a community of over 75,000 loyal members and 130+ collaborative and strategic partners. EARLY STAGE INVESTOR Although there will be later on opportunities to become an investor for this project, we invite you to join Racer Club early in our current funding round. This will suit VCs and angels that are critical on using their investments to make the Web 3 space a better one as this is our main mission of this project alongside being the go to platform for Web 3 Esports and GameFi.","Blockchain, eSports, Gamification, PC Games",,750000,USD,750000,A Web 3 game development studio producing the first race-and-earn GameFi for the Esports market.,"90,357",2022-10-01,Seed,1,Pre-Seed,750000,USD,750000
MetaOasisDAO,https://www.crunchbase.com/organization/metaoasisdao,,2021-12-01,day,11-50,"MetaOasis DAO is a metaverse creation platform to help brands and projects, creators and eventually any metaverse users to establish and liven up their presence in the metaverse ecosystems.  The goal is to make it easier to establish a presence in the metaverse.",,,1500000,USD,1500000,MetaOasisDAO is a metaverse creation platform that helps metaverse users establish and liven up their presence in the metaverse ecosystems.,"90,360",2022-07-12,Seed,1,Seed,1500000,USD,1500000
Rabipearl,https://www.crunchbase.com/organization/rabipearl,,2020-01-01,day,11-50,"Founded in 2020, Rabipearl Ltd. was set up as a Deep Tech decentralized autonomous organization (DAO) building Metaverse, AR/VR/XR, Blockchain and AI solutions in the space with Strobeam being its core product.","3D Technology, Augmented Reality, Blockchain, Computer Vision, Information Technology, Internet, SaaS, Software, Virtual Reality","Manchester, Manchester, United Kingdom",2500,GBP,3308,"A.I, AR, VR, XR, 3D, Blockchain, Metaverse, Digital, Creative, SaaS, DApp, Computer Vision, NFTs","91,069",2021-12-03,Private Equity,2,Grant,125000,GBP,170916
Virtuall,https://www.crunchbase.com/organization/virtuall,,2022-01-01,year,1-10,"Virtuall is an IT Company that enables brands with the infrastructure to bridge the physical and virtual worlds of the metaverse. It helps brands quickly scale their engagement in games and the virtual world with their products. The company's platform encapsulates all the tools a brand needs to reach further and engage longer in virtual worlds generating unmatched brand and product exposure. Virtuall was founded in 2022 and is headquartered in Copenhagen, Denmark.","Blockchain, Information Technology, Infrastructure, Social Media","Copenhagen, Hovedstaden, Denmark",130000,USD,130000,Virtuall is an IT Company that enables brands with the infrastructure to bridge the physical and virtual worlds of the metaverse.,"91,436",2022-01-01,Seed,1,Pre-Seed,130000,USD,130000
SoulMade,https://www.crunchbase.com/organization/soulmade-8119,,2021-11-25,day,1-10,"SoulMade is a blockchain-based NFT ecosystem platform that combines and mints NFT with a Play-to-Earn business model for creators. It provides the next generation of composable NFT platforms for everyone to create, buy and sell customized NFTs with painting, music, and videos. Display with AR and VR into the Metaverse.","B2B, Blockchain, Cryptocurrency, Software","Stockholm, Stockholms Lan, Sweden",,,,SoulMade is a blockchain-based NFT ecosystem platform that combines and mints NFT with a Play-to-Earn business model for creators.,"91,755",2022-04-11,Seed,2,Pre-Seed,,,
